Gene	NAD.count	total.count
AT4G33625.3	1	1
AT4G33660.1	1	1
AT4G33865.1	4	6
AT4G34620.1	4	13
AT4G36850.1	1	1
AT4G36850.2	1	1
AT4G36850.3	1	1
AT4G36850.4	1	1
AT4G37830.1	1	3
AT4G37830.2	1	3
AT4G37930.1	1	5
AT4G38680.1	2	8
AT4G38690.1	2	6
AT4G38740.1	1	5
AT4G38840.1	1	1
AT4G38970.1	4	9
AT4G38970.2	4	9
AT4G39090.1	1	4
AT4G39260.1	1	4
AT4G39260.2	1	3
AT4G39260.3	1	3
AT4G39675.1	1	1
AT4G40040.1	1	6
AT4G40040.2	1	6
AT4G40040.3	1	6
AT5G01350.1	1	1
AT5G01410.1	1	3
AT5G01410.2	1	2
AT5G01530.1	5	43
AT5G02120.1	1	3
AT5G02380.1	8	29
AT5G02450.1	1	1
AT5G02960.1	1	5
AT5G03850.1	4	6
AT5G04630.1	1	1
AT5G07580.1	1	1
AT5G10450.1	1	4
AT5G10450.2	1	4
AT5G10450.3	1	4
AT5G10450.4	1	4
AT5G10480.1	1	1
AT5G10480.2	1	1
AT5G10480.3	1	1
AT5G13070.1	1	1
AT5G13140.1	1	1
AT5G14320.1	1	4
AT5G14320.2	1	4
AT5G14780.1	1	1
AT5G14780.2	1	1
AT5G14780.3	1	1
AT5G15845.1	1	1
AT5G15845.5	1	2
AT5G15850.1	1	2
AT5G16470.1	1	2
AT5G16470.2	1	2
AT5G17870.1	1	4
AT5G17870.2	1	4
AT5G18380.1	2	5
AT5G19250.1	1	2
AT5G19590.1	1	3
AT5G19590.2	1	2
AT5G19760.1	1	1
AT5G20290.1	1	6
AT5G20500.1	1	1
AT5G21020.2	3	4
AT5G22300.1	1	1
AT5G22300.2	1	1
AT5G23040.1	1	2
AT5G23040.2	1	2
AT5G23250.1	1	1
AT5G23250.2	1	1
AT5G23250.3	1	1
AT5G23820.1	2	2
AT5G24165.1	1	3
AT5G24165.2	1	3
AT5G24610.1	1	1
AT5G25890.1	1	1
AT5G28060.1	1	2
AT5G28750.1	1	3
AT5G34850.1	1	5
AT5G36910.1	1	5
AT5G37770.1	1	1
AT5G37770.2	1	1
AT5G38410.1	95	246
AT5G38410.2	81	210
AT5G38410.3	92	230
AT5G38420.1	40	148
AT5G38430.1	31	107
AT5G38430.2	31	106
AT5G38520.1	1	1
AT5G38520.2	1	1
AT5G38660.1	1	1
AT5G38660.2	1	3
AT5G41685.1	1	1
AT5G42530.1	4	10
AT5G43150.1	1	3
AT5G44580.1	1	3
AT5G45472.1	1	1
AT5G45472.2	1	1
AT5G45472.3	1	1
AT5G45472.4	1	1
AT5G45820.1	1	1
AT5G47320.1	1	1
AT5G47450.1	1	1
AT5G48490.1	1	1
AT5G48810.1	1	4
AT5G50460.1	2	4
AT5G51110.1	1	2
AT5G51110.2	1	2
AT5G51170.1	1	1
AT5G51170.2	1	1
AT5G51170.3	1	1
AT5G51170.4	1	1
AT5G51720.1	3	6
AT5G54430.1	1	1
AT5G54430.2	1	1
AT5G54430.3	1	1
AT5G54430.5	1	1
AT5G54540.1	1	1
AT5G54580.1	1	1
AT5G54600.1	1	4
AT5G54600.2	1	4
AT5G57560.1	1	1
AT5G57660.1	1	1
AT5G57785.1	1	4
AT5G57880.1	1	1
AT5G57887.1	2	2
AT5G58260.1	1	2
AT5G58260.2	1	2
AT5G58375.1	1	3
AT5G58650.1	1	2
AT5G59160.1	1	1
AT5G59160.2	1	1
AT5G59160.3	1	1
AT5G59613.1	1	2
AT5G59613.2	1	2
AT5G59690.1	1	1
AT5G59880.1	1	2
AT5G59880.2	1	2
AT5G59890.1	1	1
AT5G59890.2	1	1
AT5G59890.3	1	1
AT5G59910.1	1	7
AT5G60390.1	1	7
AT5G60390.2	1	7
AT5G60390.3	1	7
AT5G60680.1	1	1
AT5G61410.1	1	1
AT5G61410.2	1	1
AT5G61670.1	1	1
AT5G61670.2	1	1
AT5G62300.1	1	2
AT5G62300.2	1	2
AT5G62540.1	1	1
AT5G63500.1	1	1
AT5G63800.1	1	2
AT5G64040.1	2	23
AT5G64040.2	2	21
AT5G64090.1	1	1
AT5G65880.1	1	1
AT5G66490.1	1	1
AT5G66570.1	2	43
AT5G67600.1	1	2
ATMG00516.1	1	1
AT1G01050.1	NA	NA
AT1G01160.1	NA	NA
AT1G01160.2	NA	NA
AT1G01250.1	NA	NA
AT1G01320.1	NA	NA
AT1G01320.2	NA	NA
AT1G01320.3	NA	NA
AT1G01360.1	NA	NA
AT1G01510.1	NA	NA
AT1G01620.1	NA	NA
AT1G01620.2	NA	NA
AT1G01630.1	NA	NA
AT1G02080.1	NA	NA
AT1G02080.2	NA	NA
AT1G02080.3	NA	NA
AT1G02140.1	NA	NA
AT1G02170.1	NA	NA
AT1G02305.1	NA	NA
AT1G02340.1	NA	NA
AT1G02340.2	NA	NA
AT1G02500.1	NA	NA
AT1G02500.2	NA	NA
AT1G02560.1	NA	NA
AT1G02780.1	NA	NA
AT1G02820.1	NA	NA
AT1G03140.1	NA	NA
AT1G03630.1	NA	NA
AT1G03630.2	NA	NA
AT1G04010.1	NA	NA
AT1G04190.1	NA	NA
AT1G04250.1	NA	NA
AT1G04270.1	NA	NA
AT1G04270.2	NA	NA
AT1G04280.1	NA	NA
AT1G04280.2	NA	NA
AT1G04420.1	NA	NA
AT1G04503.1	NA	NA
AT1G04530.1	NA	NA
AT1G04680.1	NA	NA
AT1G04733.1	NA	NA
AT1G04820.1	NA	NA
AT1G04833.1	NA	NA
AT1G05190.1	NA	NA
AT1G05205.1	NA	NA
AT1G05213.1	NA	NA
AT1G05560.1	NA	NA
AT1G05560.2	NA	NA
AT1G05562.1	NA	NA
AT1G06220.1	NA	NA
AT1G06220.2	NA	NA
AT1G06220.3	NA	NA
AT1G06515.1	NA	NA
AT1G06537.1	NA	NA
AT1G06550.1	NA	NA
AT1G06570.1	NA	NA
AT1G06570.2	NA	NA
AT1G06640.1	NA	NA
AT1G06640.2	NA	NA
AT1G06650.1	NA	NA
AT1G06650.2	NA	NA
AT1G06670.1	NA	NA
AT1G06670.2	NA	NA
AT1G06760.1	NA	NA
AT1G07010.1	NA	NA
AT1G07010.2	NA	NA
AT1G07010.3	NA	NA
AT1G07080.1	NA	NA
AT1G07180.1	NA	NA
AT1G07320.1	NA	NA
AT1G07320.2	NA	NA
AT1G07320.4	NA	NA
AT1G07330.1	NA	NA
AT1G07330.2	NA	NA
AT1G07450.1	NA	NA
AT1G07607.1	NA	NA
AT1G07610.1	NA	NA
AT1G07670.1	NA	NA
AT1G07670.2	NA	NA
AT1G07737.1	NA	NA
AT1G07890.3	NA	NA
AT1G07890.6	NA	NA
AT1G07920.1	NA	NA
AT1G07930.1	NA	NA
AT1G07930.2	NA	NA
AT1G07940.1	NA	NA
AT1G07940.2	NA	NA
AT1G07940.3	NA	NA
AT1G07940.4	NA	NA
AT1G07960.1	NA	NA
AT1G07960.2	NA	NA
AT1G07960.3	NA	NA
AT1G07960.4	NA	NA
AT1G08160.1	NA	NA
AT1G08230.4	NA	NA
AT1G08230.5	NA	NA
AT1G08230.6	NA	NA
AT1G08480.1	NA	NA
AT1G08510.1	NA	NA
AT1G08570.1	NA	NA
AT1G08570.2	NA	NA
AT1G08570.3	NA	NA
AT1G08570.4	NA	NA
AT1G08890.1	NA	NA
AT1G09070.1	NA	NA
AT1G09150.1	NA	NA
AT1G09200.1	NA	NA
AT1G09340.1	NA	NA
AT1G09340.2	NA	NA
AT1G09430.1	NA	NA
AT1G09570.1	NA	NA
AT1G09570.2	NA	NA
AT1G09570.3	NA	NA
AT1G09570.4	NA	NA
AT1G09570.5	NA	NA
AT1G09570.6	NA	NA
AT1G09630.1	NA	NA
AT1G09800.1	NA	NA
AT1G09863.1	NA	NA
AT1G09863.3	NA	NA
AT1G09863.4	NA	NA
AT1G09863.5	NA	NA
AT1G09900.1	NA	NA
AT1G09960.1	NA	NA
AT1G10070.1	NA	NA
AT1G10070.2	NA	NA
AT1G10070.3	NA	NA
AT1G10140.1	NA	NA
AT1G10150.1	NA	NA
AT1G10155.1	NA	NA
AT1G10200.1	NA	NA
AT1G10200.2	NA	NA
AT1G10370.1	NA	NA
AT1G10510.1	NA	NA
AT1G10530.1	NA	NA
AT1G10580.1	NA	NA
AT1G10630.1	NA	NA
AT1G10630.2	NA	NA
AT1G10657.1	NA	NA
AT1G10657.2	NA	NA
AT1G10657.3	NA	NA
AT1G10657.4	NA	NA
AT1G10682.1	NA	NA
AT1G10960.1	NA	NA
AT1G11050.1	NA	NA
AT1G11120.1	NA	NA
AT1G11120.2	NA	NA
AT1G11260.1	NA	NA
AT1G11430.1	NA	NA
AT1G11545.1	NA	NA
AT1G11680.1	NA	NA
AT1G11850.2	NA	NA
AT1G11860.1	NA	NA
AT1G11860.2	NA	NA
AT1G11860.3	NA	NA
AT1G11930.1	NA	NA
AT1G11930.2	NA	NA
AT1G12000.1	NA	NA
AT1G12080.1	NA	NA
AT1G12080.2	NA	NA
AT1G12110.1	NA	NA
AT1G12390.1	NA	NA
AT1G12440.1	NA	NA
AT1G12440.2	NA	NA
AT1G12440.3	NA	NA
AT1G12780.1	NA	NA
AT1G12800.1	NA	NA
AT1G12810.1	NA	NA
AT1G12810.2	NA	NA
AT1G12900.1	NA	NA
AT1G12900.2	NA	NA
AT1G12900.3	NA	NA
AT1G12900.4	NA	NA
AT1G12900.5	NA	NA
AT1G13245.1	NA	NA
AT1G13320.1	NA	NA
AT1G13320.2	NA	NA
AT1G13320.3	NA	NA
AT1G13320.4	NA	NA
AT1G13440.2	NA	NA
AT1G13930.1	NA	NA
AT1G13930.2	NA	NA
AT1G13930.3	NA	NA
AT1G13950.1	NA	NA
AT1G14320.1	NA	NA
AT1G14320.2	NA	NA
AT1G14410.1	NA	NA
AT1G14610.1	NA	NA
AT1G14720.1	NA	NA
AT1G14980.2	NA	NA
AT1G15340.1	NA	NA
AT1G15340.2	NA	NA
AT1G15400.2	NA	NA
AT1G15500.1	NA	NA
AT1G15690.1	NA	NA
AT1G15690.2	NA	NA
AT1G15730.1	NA	NA
AT1G15740.1	NA	NA
AT1G15880.1	NA	NA
AT1G15950.1	NA	NA
AT1G15950.2	NA	NA
AT1G15950.3	NA	NA
AT1G15950.6	NA	NA
AT1G15950.7	NA	NA
AT1G15960.1	NA	NA
AT1G15980.1	NA	NA
AT1G16080.1	NA	NA
AT1G16170.1	NA	NA
AT1G16180.1	NA	NA
AT1G16180.2	NA	NA
AT1G16210.1	NA	NA
AT1G16460.1	NA	NA
AT1G16460.2	NA	NA
AT1G16460.3	NA	NA
AT1G16460.4	NA	NA
AT1G16460.5	NA	NA
AT1G16460.6	NA	NA
AT1G16610.1	NA	NA
AT1G16610.2	NA	NA
AT1G16610.4	NA	NA
AT1G16610.5	NA	NA
AT1G16610.6	NA	NA
AT1G16610.7	NA	NA
AT1G16720.1	NA	NA
AT1G16720.2	NA	NA
AT1G16720.3	NA	NA
AT1G16770.1	NA	NA
AT1G16770.2	NA	NA
AT1G16770.3	NA	NA
AT1G16890.1	NA	NA
AT1G16890.2	NA	NA
AT1G16890.3	NA	NA
AT1G17070.1	NA	NA
AT1G17200.1	NA	NA
AT1G17200.2	NA	NA
AT1G17290.1	NA	NA
AT1G17370.1	NA	NA
AT1G17370.2	NA	NA
AT1G17840.1	NA	NA
AT1G17880.1	NA	NA
AT1G18260.1	NA	NA
AT1G18540.1	NA	NA
AT1G18720.1	NA	NA
AT1G18720.2	NA	NA
AT1G19000.2	NA	NA
AT1G19130.1	NA	NA
AT1G19150.1	NA	NA
AT1G19350.1	NA	NA
AT1G19350.3	NA	NA
AT1G19350.4	NA	NA
AT1G19350.5	NA	NA
AT1G19350.6	NA	NA
AT1G19570.1	NA	NA
AT1G19660.1	NA	NA
AT1G19660.2	NA	NA
AT1G19660.3	NA	NA
AT1G19740.1	NA	NA
AT1G20160.1	NA	NA
AT1G20160.2	NA	NA
AT1G20160.3	NA	NA
AT1G20330.1	NA	NA
AT1G20510.1	NA	NA
AT1G20510.2	NA	NA
AT1G20510.3	NA	NA
AT1G20620.1	NA	NA
AT1G20620.2	NA	NA
AT1G20620.4	NA	NA
AT1G20620.5	NA	NA
AT1G20620.6	NA	NA
AT1G20620.7	NA	NA
AT1G20630.1	NA	NA
AT1G20693.1	NA	NA
AT1G20693.2	NA	NA
AT1G20693.3	NA	NA
AT1G20890.1	NA	NA
AT1G20890.2	NA	NA
AT1G21065.1	NA	NA
AT1G21310.1	NA	NA
AT1G21350.1	NA	NA
AT1G21350.2	NA	NA
AT1G21350.3	NA	NA
AT1G21350.4	NA	NA
AT1G21350.5	NA	NA
AT1G21400.1	NA	NA
AT1G21400.2	NA	NA
AT1G21400.3	NA	NA
AT1G21400.4	NA	NA
AT1G21400.5	NA	NA
AT1G21400.6	NA	NA
AT1G21460.1	NA	NA
AT1G21680.1	NA	NA
AT1G22140.1	NA	NA
AT1G22140.3	NA	NA
AT1G22200.1	NA	NA
